Changed database context to 'Practica1'.
CountryName                                                                                                                                            Year        Month       TripCount  
Burkina Faso                                                                                                                                                  2022           3          22
Burkina Faso                                                                                                                                                  2022           4          13
Burkina Faso                                                                                                                                                  2022           5          28
Burkina Faso                                                                                                                                                  2022           6          22
Burkina Faso                                                                                                                                                  2022           7          22
Burkina Faso                                                                                                                                                  2022           8          19
Burkina Faso                                                                                                                                                  2022           9          21
Burkina Faso                                                                                                                                                  2022          10          29
Burkina Faso                                                                                                                                                  2022          11          28
Burkina Faso                                                                                                                                                  2022          12          23
Burundi                                                                                                                                                       2022           1           3
Burundi                                                                                                                                                       2022           2           1
Burundi                                                                                                                                                       2022           3           4
Burundi                                                                                                                                                       2022           4           2
Burundi                                                                                                                                                       2022           5           2
Burundi                                                                                                                                                       2022           6           2
Burundi                                                                                                                                                       2022           7           3
Burundi                                                                                                                                                       2022           8           3
Burundi                                                                                                                                                       2022           9           5
Burundi                                                                                                                                                       2022          10           2
Burundi                                                                                                                                                       2022          11           5
Burundi                                                                                                                                                       2022          12           7
C├┤te d'Ivoire                                                                                                                                                2022           1          21
C├┤te d'Ivoire                                                                                                                                                2022           2           8
C├┤te d'Ivoire                                                                                                                                                2022           3          25
C├┤te d'Ivoire                                                                                                                                                2022           4          23
C├┤te d'Ivoire                                                                                                                                                2022           5          16
C├┤te d'Ivoire                                                                                                                                                2022           6          19
C├┤te d'Ivoire                                                                                                                                                2022           7          26
C├┤te d'Ivoire                                                                                                                                                2022           8          17
C├┤te d'Ivoire                                                                                                                                                2022           9          20
C├┤te d'Ivoire                                                                                                                                                2022          10          25
C├┤te d'Ivoire                                                                                                                                                2022          11          13
C├┤te d'Ivoire                                                                                                                                                2022          12          22
Cabo Verde                                                                                                                                                    2022           1           5
Cabo Verde                                                                                                                                                    2022           2          11
Cabo Verde                                                                                                                                                    2022           3           9
Cabo Verde                                                                                                                                                    2022           4           6
Cabo Verde                                                                                                                                                    2022           5          15
Cabo Verde                                                                                                                                                    2022           6          10
Cabo Verde                                                                                                                                                    2022           7           5
Cabo Verde                                                                                                                                                    2022           8          11
Cabo Verde                                                                                                                                                    2022           9          19
Cabo Verde                                                                                                                                                    2022          10           8
Cabo Verde                                                                                                                                                    2022          11           8
Cabo Verde                                                                                                                                                    2022          12           8
Cambodia                                                                                                                                                      2022           1           8
Cambodia                                                                                                                                                      2022           2           9
Cambodia                                                                                                                                                      2022           3          11
Cambodia                                                                                                                                                      2022           4          13
Cambodia                                                                                                                                                      2022           5          13
Cambodia                                                                                                                                                      2022           6          13
Cambodia                                                                                                                                                      2022           7           8
Cambodia                                                                                                                                                      2022           8          12
Cambodia                                                                                                                                                      2022           9          11
Cambodia                                                                                                                                                      2022          10           2
Cambodia                                                                                                                                                      2022          11          14
Cambodia                                                                                                                                                      2022          12          10
Cameroon                                                                                                                                                      2022           1          24
Cameroon                                                                                                                                                      2022           2          18
Cameroon                                                                                                                                                      2022           3           9
Cameroon                                                                                                                                                      2022           4          21
Cameroon                                                                                                                                                      2022           5          17
Cameroon                                                                                                                                                      2022           6          14
Cameroon                                                                                                                                                      2022           7          23
Cameroon                                                                                                                                                      2022           8          20
Cameroon                                                                                                                                                      2022           9          17
Cameroon                                                                                                                                                      2022          10          23
Cameroon                                                                                                                                                      2022          11          17
Cameroon                                                                                                                                                      2022          12          18
Canada                                                                                                                                                        2022           1         474
Canada                                                                                                                                                        2022           2         437
Canada                                                                                                                                                        2022           3         439
Canada                                                                                                                                                        2022           4         477
Canada                                                                                                                                                        2022           5         441
Canada                                                                                                                                                        2022           6         427
Canada                                                                                                                                                        2022           7         477
Canada                                                                                                                                                        2022           8         486
Canada                                                                                                                                                        2022           9         422
Canada                                                                                                                                                        2022          10         473
Canada                                                                                                                                                        2022          11         422
Canada                                                                                                                                                        2022          12         449
Cayman Islands                                                                                                                                                2022           1           2
Cayman Islands                                                                                                                                                2022           2           1
Cayman Islands                                                                                                                                                2022           3           5
Cayman Islands                                                                                                                                                2022           4           3
Cayman Islands                                                                                                                                                2022           5           3
Cayman Islands                                                                                                                                                2022           6           2
Cayman Islands                                                                                                                                                2022           7           2
Cayman Islands                                                                                                                                                2022           8           2
Cayman Islands                                                                                                                                                2022           9           1
Cayman Islands                                                                                                                                                2022          10           2
Cayman Islands                                                                                                                                                2022          11           3
Cayman Islands                                                                                                                                                2022          12           1
Central African Republic                                                                                                                                      2022           1          26
Central African Republic                                                                                                                                      2022           2          19
Central African Republic                                                                                                                                      2022           3          22
Central African Republic                                                                                                                                      2022           4          26
Central African Republic                                                                                                                                      2022           5          24
Central African Republic                                                                                                                                      2022           6          20
Central African Republic                                                                                                                                      2022           7          19
Central African Republic                                                                                                                                      2022           8          15
Central African Republic                                                                                                                                      2022           9          20
Central African Republic                                                                                                                                      2022          10          14
Central African Republic                                                                                                                                      2022          11          24
Central African Republic                                                                                                                                      2022          12          12
Chad                                                                                                                                                          2022           1          15
Chad                                                                                                                                                          2022           2          20
Chad                                                                                                                                                          2022           3          18
Chad                                                                                                                                                          2022           4          19
Chad                                                                                                                                                          2022           5          21
Chad                                                                                                                                                          2022           6          19
Chad                                                                                                                                                          2022           7          18
Chad                                                                                                                                                          2022           8          16
Chad                                                                                                                                                          2022           9          22
Chad                                                                                                                                                          2022          10          23
Chad                                                                                                                                                          2022          11          18
Chad                                                                                                                                                          2022          12          22
Chile                                                                                                                                                         2022           1          46
Chile                                                                                                                                                         2022           2          37
Chile                                                                                                                                                         2022           3          61
Chile                                                                                                                                                         2022           4          42
Chile                                                                                                                                                         2022           5          42
Chile                                                                                                                                                         2022           6          59
Chile                                                                                                                                                         2022           7          51
Chile                                                                                                                                                         2022           8          55
Chile                                                                                                                                                         2022           9          48
Chile                                                                                                                                                         2022          10          58
Chile                                                                                                                                                         2022          11          40
Chile                                                                                                                                                         2022          12          43
China                                                                                                                                                         2022           1         235
China                                                                                                                                                         2022           2         209
China                                                                                                                                                         2022           3         218
China                                                                                                                                                         2022           4         216
China                                                                                                                                                         2022           5         241
China                                                                                                                                                         2022           6         230
China                                                                                                                                                         2022           7         241
China                                                                                                                                                         2022           8         258
China                                                                                                                                                         2022           9         245
China                                                                                                                                                         2022          10         256
China                                                                                                                                                         2022          11         228
China                                                                                                                                                         2022          12         202
Christmas Island                                                                                                                                              2022           1           2
Christmas Island                                                                                                                                              2022           4           2
Christmas Island                                                                                                                                              2022           6           2
Christmas Island                                                                                                                                              2022           7           1
Christmas Island                                                                                                                                              2022           9           1
Christmas Island                                                                                                                                              2022          11           3
Cocos (Keeling) Islands                                                                                                                                       2022           5           2
Cocos (Keeling) Islands                                                                                                                                       2022           9           2
Cocos (Keeling) Islands                                                                                                                                       2022          10           1
Cocos (Keeling) Islands                                                                                                                                       2022          11           2
Cocos (Keeling) Islands                                                                                                                                       2022          12           1
Colombia                                                                                                                                                      2022           1         120
Colombia                                                                                                                                                      2022           2         161
Colombia                                                                                                                                                      2022           3         153
Colombia                                                                                                                                                      2022           4         138
Colombia                                                                                                                                                      2022           5         151
Colombia                                                                                                                                                      2022           6         109
Colombia                                                                                                                                                      2022           7         125
Colombia                                                                                                                                                      2022           8         151
Colombia                                                                                                                                                      2022           9         132
Colombia                                                                                                                                                      2022          10         124
Colombia                                                                                                                                                      2022          11         145
Colombia                                                                                                                                                      2022          12         134
Comoros                                                                                                                                                       2022           1           5
Comoros                                                                                                                                                       2022           2           3
Comoros                                                                                                                                                       2022           3           3
Comoros                                                                                                                                                       2022           4           3
Comoros                                                                                                                                                       2022           5           6
Comoros                                                                                                                                                       2022           6           8
Comoros                                                                                                                                                       2022           8           2
Comoros                                                                                                                                                       2022           9           5
Comoros                                                                                                                                                       2022          10           1
Comoros                                                                                                                                                       2022          11           6
Comoros                                                                                                                                                       2022          12           5
Congo                                                                                                                                                         2022           1          22
Congo                                                                                                                                                         2022           2          28
Congo                                                                                                                                                         2022           3          21
Congo                                                                                                                                                         2022           4          28
Congo                                                                                                                                                         2022           5          28
Congo                                                                                                                                                         2022           6          22
Congo                                                                                                                                                         2022           7          20
Congo                                                                                                                                                         2022           8          25
Congo                                                                                                                                                         2022           9          23
Congo                                                                                                                                                         2022          10          24
Congo                                                                                                                                                         2022          11          17
Congo                                                                                                                                                         2022          12          27
Cook Islands                                                                                                                                                  2022           1           3
Cook Islands                                                                                                                                                  2022           2          10
Cook Islands                                                                                                                                                  2022           3           9
Cook Islands                                                                                                                                                  2022           4           7
Cook Islands                                                                                                                                                  2022           5           6
Cook Islands                                                                                                                                                  2022           6           7
Cook Islands                                                                                                                                                  2022           7          11
Cook Islands                                                                                                                                                  2022           8          12
Cook Islands                                                                                                                                                  2022           9           8
Cook Islands                                                                                                                                                  2022          10           9
Cook Islands                                                                                                                                                  2022          11           8
Cook Islands                                                                                                                                                  2022          12           8
Costa Rica                                                                                                                                                    2022           1          30
Costa Rica                                                                                                                                                    2022           2          29
Costa Rica                                                                                                                                                    2022           3          25
Costa Rica                                                                                                                                                    2022           4          33
Costa Rica                                                                                                                                                    2022           5          32
Costa Rica                                                                                                                                                    2022           6          29
Costa Rica                                                                                                                                                    2022           7          26
Costa Rica                                                                                                                                                    2022           8          23
Costa Rica                                                                                                                                                    2022           9          19
Costa Rica                                                                                                                                                    2022          10          26
Costa Rica                                                                                                                                                    2022          11          20
Costa Rica                                                                                                                                                    2022          12          21
Croatia                                                                                                                                                       2022           1          11
Croatia                                                                                                                                                       2022           2           6
Croatia                                                                                                                                                       2022           3           9
Croatia                                                                                                                                                       2022           4          10
Croatia                                                                                                                                                       2022           5          11
Croatia                                                                                                                                                       2022           6           9
Croatia                                                                                                                                                       2022           7           5
Croatia                                                                                                                                                       2022           8           9
Croatia                                                                                                                                                       2022           9           9
Croatia                                                                                                                                                       2022          10           7
Croatia                                                                                                                                                       2022          11           6
Croatia                                                                                                                                                       2022          12           8
Cuba                                                                                                                                                          2022           1          35
Cuba                                                                                                                                                          2022           2          24
Cuba                                                                                                                                                          2022           3          27
Cuba                                                                                                                                                          2022           4          24
Cuba                                                                                                                                                          2022           5          24
Cuba                                                                                                                                                          2022           6          26
Cuba                                                                                                                                                          2022           7          31
Cuba                                                                                                                                                          2022           8          37
Cuba                                                                                                                                                          2022           9          30
Cuba                                                                                                                                                          2022          10          27
Cuba                                                                                                                                                          2022          11          27
Cuba                                                                                                                                                          2022          12          31
Cyprus                                                                                                                                                        2022           1           4
Cyprus                                                                                                                                                        2022           2           5
Cyprus                                                                                                                                                        2022           3           4
Cyprus                                                                                                                                                        2022           4           5
Cyprus                                                                                                                                                        2022           5           1
